textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Avondale,1,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Chandler,6,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Chandler,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Gilbert,7,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Gilbert,2,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Glendale,160,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Glendale,57,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Goodyear,3,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Goodyear,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Mesa,0,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Mesa,5,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Peoria,20,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Peoria,4,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Phoenix,206,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Phoenix,76,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Scottsdale,0,"96,874"
